wind_direction,fractional_occur,wind_speed
0,0.001372056,0
10,0.019208781,3.068291
20,0.020809513,2.999038923
30,0.020695175,2.984343646
40,0.02835582,3.277506129
50,0.022753259,2.970332442
60,0.020695175,3.208879978
70,0.01360622,3.410893412
80,0.018179739,3.649640453
90,0.020923851,3.671387235
100,0.017379373,3.6180305
110,0.009375715,3.908519659
120,0.01189115,4.204590385
130,0.011433798,4.0383854
140,0.014978276,3.785679511
150,0.01303453,4.002735333
160,0.013720558,4.364199933
170,0.022410245,4.333403286
180,0.035444775,4.646590968
190,0.031671621,4.572422845
200,0.044706151,4.96681867
210,0.061513835,5.552744067
220,0.058426709,5.122291726
230,0.050880402,5.251953016
240,0.044934827,5.288431959
250,0.047221587,5.254055186
260,0.070203522,4.825216606
270,0.049508347,3.937338143
280,0.0294992,3.77857124
290,0.031785959,3.210648705
300,0.026755088,3.427428188
310,0.0237823,3.066877692
320,0.021266865,2.522435097
330,0.017951063,2.549283006
340,0.018294077,2.787643425
350,0.016693346,2.931626082
360,0.018637091,3.184503043
