wind_direction,fractional_occur,wind_speed
0,0.021883736,0
10,0.011500941,3.962443667
20,0.010474072,4.256211525
30,0.016247362,4.171909629
40,0.01696617,4.390590991
50,0.02103942,4.492736538
60,0.019818586,4.473915408
70,0.023914656,4.424316576
80,0.021370301,4.498707035
90,0.02579725,4.265493882
100,0.018928633,3.984692827
110,0.018129956,3.562581357
120,0.01494666,3.431066586
130,0.017011809,3.506914028
140,0.01766216,3.848692483
150,0.028592618,4.09091781
160,0.038222374,4.386594884
170,0.058999372,4.536379329
180,0.063471961,4.426826223
190,0.065982087,4.664422738
200,0.051252211,4.868435984
210,0.043664784,4.652982654
220,0.030155742,4.229808008
230,0.029254378,3.805160086
240,0.029026185,3.90868242
250,0.038085458,4.129730804
260,0.030018826,4.062367368
270,0.034936391,3.938134344
280,0.042067431,4.134667494
290,0.030943009,4.05883417
300,0.021678362,3.76329324
310,0.029265788,3.721245215
320,0.02105083,3.555379644
330,0.015733927,3.22917133
340,0.008283416,3.499778121
350,0.007359233,3.778172447
360,0.006263906,3.558003403
